part_id,failure_year,part_year,diameter,length,material
RS95335,2006,1930,80,324.58593010000004,CU
RS95335,2004,1930,80,324.58593010000004,CU
RS95335,2003,1930,80,324.58593010000004,CU
RS95335,2004,1930,80,324.58593010000004,CU
RS95335,2010,1930,80,324.58593010000004,CU
RS95335,2008,1930,80,324.58593010000004,CU
RS95335,2005,1930,80,324.58593010000004,CU
RS95335,2007,1930,80,324.58593010000004,CU
RS95335,2012,1930,80,324.58593010000004,CU
RS185818,2008,1972,125,18.83368056,CU
RS56602,2001,1966,125,21.23358619,CU
RS140639,2003,1873,80,243.6163346,CU
RS140639,2004,1873,80,243.6163346,CU
RS140639,2005,1873,80,243.6163346,CU
RS140639,2007,1873,80,243.6163346,CU
RS140639,2012,1873,80,243.6163346,CU
RS83016,2004,1926,100,75.66778855,CU
RS83016,2005,1926,100,75.66778855,CU
RS83016,2001,1926,100,75.66778855,CU
RS83016,2005,1926,100,75.66778855,CU
RS83016,2007,1926,100,75.66778855,CU
RS83016,2012,1926,100,75.66778855,CU
RS14565,2001,1948,80,62.81603509,HDPE
RS187127,2010,1973,80,52.39938458,CU
RS187127,2010,1973,80,52.39938458,CU
RS187127,2005,1973,80,52.39938458,CU
RS133653,2002,1964,150,66.1933907,CU
RS33359,2004,1970,100,5.6754197060000005,CU
RS33359,2003,1970,100,5.6754197060000005,CU
RS33359,2010,1970,100,5.6754197060000005,CU
RS75396,2002,1951,100,92.09548384,HDPE
RS47782,2005,1961,100,31.35822417,HDPE
RS182641,2003,1921,100,73.46653305,CU
RS182641,2002,1921,100,73.46653305,CU
RS182641,2003,1921,100,73.46653305,CU
RS35517,2004,1936,125,11.51667092,CU
RS111636,2010,1950,80,51.62574722,CU
RS111636,2007,1950,80,51.62574722,CU
RS139989,2009,1989,125,170.2578255,MPVC
RS139989,2008,1989,125,170.2578255,MPVC
RS198573,2007,1906,150,60.29260864,CU
RS165371,2003,1899,150,76.31229192,CU
RS125290,2004,1945,80,155.9441947,CU
RS125290,2012,1945,80,155.9441947,CU
RS125290,2004,1945,80,155.9441947,CU
RS125290,2005,1945,80,155.9441947,CU
RS247145,2007,1954,225,22.99819852,CU
RS247145,2010,1954,225,22.99819852,CU
RS143857,2002,1958,150,87.2004676,CU
RS242176,2011,1965,200,90.8638454,CU
RS242176,2013,1965,200,90.8638454,CU
RS119032,2002,1947,80,222.55426980000004,CU
RS119032,2003,1947,80,222.55426980000004,CU
RS119032,2003,1947,80,222.55426980000004,CU
RS119032,2002,1947,80,222.55426980000004,CU
RS119032,2002,1947,80,222.55426980000004,CU
RS124143,2004,1950,80,74.71617072,CU
RS124143,2005,1950,80,74.71617072,CU
RS124143,2011,1950,80,74.71617072,CU
RS91575,2007,1972,80,130.7292663,CU
RS91575,2010,1972,80,130.7292663,CU
RS91575,2003,1972,80,130.7292663,CU
RS91575,2007,1972,80,130.7292663,CU
RS41123,2005,1951,80,79.53883921,HDPE
RS41123,2006,1951,80,79.53883921,HDPE
RS24617,2001,1965,150,10.26199894,CU
RS39825,2003,1980,125,26.41429115,HDPE
RS39825,2011,1980,125,26.41429115,HDPE
RS13108,2009,1923,80,55.87860573,CU
RS13108,2006,1923,80,55.87860573,CU
RS188186,2003,1959,150,3.175662315,HDPE
RS139247,2009,1917,63,55.748089,CU
RS13301,2007,1960,80,21.17793498,CU
RS207050,2003,1979,125,52.67450159,HDPE
RS208560,2010,1928,125,42.38430045,CU
RS29648,2009,1946,80,73.78367802,HDPE
RS186795,2006,1886,225,163.3749241,CU
RS186795,2011,1886,225,163.3749241,CU
RS186795,2010,1886,225,163.3749241,CU
RS186795,2007,1886,225,163.3749241,CU
RS186795,2006,1886,225,163.3749241,CU
RS93439,2009,1902,80,136.19596049999998,CU
RS182450,2006,1935,100,220.5345707,CU
RS182450,2009,1935,100,220.5345707,CU
RS182450,2004,1935,100,220.5345707,CU
RS43058,2007,1973,100,180.27281100000002,HDPE
RS20689,2005,1950,100,25.76655373,CU
RS20689,2009,1950,100,25.76655373,CU
RS20689,2014,1950,100,25.76655373,CU
RS147763,2003,1966,100,15.19293922,HDPE
RS147763,2005,1966,100,15.19293922,HDPE
RS25290,2005,1929,100,99.48516307,CU
RS199025,2006,1959,125,106.9463388,CU
RS199025,2010,1959,125,106.9463388,CU
RS199025,2008,1959,125,106.9463388,CU
RS199025,2005,1959,125,106.9463388,CU
RS199025,2004,1959,125,106.9463388,CU
RS199025,2004,1959,125,106.9463388,CU
RS199025,2007,1959,125,106.9463388,CU
RS199025,2007,1959,125,106.9463388,CU
RS132745,2004,1955,125,206.70717209999998,CU
RS132745,2002,1955,125,206.70717209999998,CU
RS132745,2004,1955,125,206.70717209999998,CU
RS132745,2004,1955,125,206.70717209999998,CU
RS132745,2003,1955,125,206.70717209999998,CU
RS132745,2006,1955,125,206.70717209999998,CU
RS132745,2004,1955,125,206.70717209999998,CU
RS132745,2005,1955,125,206.70717209999998,CU
RS132745,2003,1955,125,206.70717209999998,CU
RS132745,2005,1955,125,206.70717209999998,CU
RS49739,2004,1937,100,76.80460459,CU
RS49739,2001,1937,100,76.80460459,CU
RS49739,2006,1937,100,76.80460459,CU
RS49739,2001,1937,100,76.80460459,CU
RS49736,2004,1958,80,4.627498434,CU
RS30417,2003,1957,150,105.70925729999999,CU
RS150295,2010,1973,125,143.80790469999997,CU
RS150295,2008,1973,125,143.80790469999997,CU
RS150295,2006,1973,125,143.80790469999997,CU
RS150295,2013,1973,125,143.80790469999997,CU
RS123619,2007,1959,125,89.10528462,CU
RS123619,2007,1959,125,89.10528462,CU
RS211727,2003,1951,150,55.40765244,CU
RS211888,2004,1934,80,48.84515796,CU
RS96151,2004,1970,150,44.67561961,CU
RS96151,2002,1970,150,44.67561961,CU
RS206395,2007,1964,125,221.08888480000002,CU
RS206395,2007,1964,125,221.08888480000002,CU
RS206395,2004,1964,125,221.08888480000002,CU
RS206395,2001,1964,125,221.08888480000002,CU
RS206395,2015,1964,125,221.08888480000002,CU
RS176365,2005,1939,125,111.19569270000001,CU
RS206337,2006,1923,125,87.89199467,CU
RS206394,2001,1965,150,102.32707459999999,CU
RS27379,2006,1915,80,56.54059766,CU
RS236482,2010,2008,200,30.19956159,MPVC
RS40843,2011,1954,80,17.87682897,CU
RS190526,2004,1951,80,21.09158589,HDPE
RS116092,2009,1966,80,16.28168455,CU
RS185199,2009,1974,125,44.49233043,HDPE
RS130050,2009,1980,80,14.177106699999998,CU
RS130050,2001,1980,80,14.177106699999998,CU
RS130050,2000,1980,80,14.177106699999998,CU
RS206911,2008,1976,150,337.0616252,HDPE
RS206911,2008,1976,150,337.0616252,HDPE
RS206911,2006,1976,150,337.0616252,HDPE
RS184030,2007,1961,80,72.42696445,HDPE
RS184030,2011,1961,80,72.42696445,HDPE
RS159559,2009,1944,100,7.98545249,CU
RS37566,2006,1925,100,143.48028530000002,CU
RS37566,2011,1925,100,143.48028530000002,CU
RS37566,2007,1925,100,143.48028530000002,CU
RS37566,2004,1925,100,143.48028530000002,CU
RS37566,2001,1925,100,143.48028530000002,CU
RS37566,2001,1925,100,143.48028530000002,CU
RS37566,2004,1925,100,143.48028530000002,CU
RS37566,2006,1925,100,143.48028530000002,CU
RS37566,2008,1925,100,143.48028530000002,CU
RS37566,2015,1925,100,143.48028530000002,CU
RS154638,2004,1928,100,104.1732441,CU
RS142425,2008,1969,100,131.0193471,CU
RS142425,2009,1969,100,131.0193471,CU
RS142425,2008,1969,100,131.0193471,CU
RS142425,2007,1969,100,131.0193471,CU
RS142425,2005,1969,100,131.0193471,CU
RS142425,2008,1969,100,131.0193471,CU
RS142425,2009,1969,100,131.0193471,CU
RS142425,2011,1969,100,131.0193471,CU
RS47271,2004,1944,80,49.89920744,CU
RS47271,2015,1944,80,49.89920744,CU
RS224292,2007,1966,250,18.45475318,CU
RS224292,2012,1966,250,18.45475318,CU
RS31847,2007,1948,125,31.28927747,HDPE
RS31847,2009,1948,125,31.28927747,HDPE
RS31847,2011,1948,125,31.28927747,HDPE
RS118905,2005,1969,150,19.22338859,CU
RS208949,2004,1925,100,37.32507543,CU
RS72234,2006,1969,100,29.80381458,CU
RS72234,2004,1969,100,29.80381458,CU
RS92609,2002,1977,80,46.49593133,CU
RS50831,2009,1957,125,16.69487374,CU
RS50831,2005,1957,125,16.69487374,CU
RS210445,2005,1965,150,80.14227702,CU
RS210445,2005,1965,150,80.14227702,CU
RS210445,2005,1965,150,80.14227702,CU
RS210445,2003,1965,150,80.14227702,CU
RS210445,2003,1965,150,80.14227702,CU
RS116296,2008,1969,80,77.19215895,HDPE
RS116296,2007,1969,80,77.19215895,HDPE
RS116296,2012,1969,80,77.19215895,HDPE
RS60480,2004,1926,100,96.13826091,CU
RS209433,2008,1925,100,94.5292529,CU
RS47115,2006,1963,80,17.76094284,CU
RS21010,2003,1961,80,55.82446388,HDPE
RS15181,2007,1956,125,96.90680358,HDPE
RS15181,2007,1956,125,96.90680358,HDPE
RS15181,2011,1956,125,96.90680358,HDPE
RS172837,2006,1905,150,269.9668418,CU
RS158237,2006,1959,150,62.16799216,CU
RS193490,2007,1972,125,8.129676365,HDPE
RS193490,2009,1972,125,8.129676365,HDPE
RS222044,2007,1941,100,506.2473624,CU
RS222044,2003,1941,100,506.2473624,CU
RS222044,2001,1941,100,506.2473624,CU
RS222044,2003,1941,100,506.2473624,CU
RS222044,2012,1941,100,506.2473624,CU
RS222044,2008,1941,100,506.2473624,CU
RS222044,2004,1941,100,506.2473624,CU
RS222044,2006,1941,100,506.2473624,CU
RS222044,2006,1941,100,506.2473624,CU
RS222044,2003,1941,100,506.2473624,CU
RS222044,2011,1941,100,506.2473624,CU
RS222044,2012,1941,100,506.2473624,CU
RS222044,2014,1941,100,506.2473624,CU
RS222044,2012,1941,100,506.2473624,CU
RS222044,2013,1941,100,506.2473624,CU
RS133347,2006,1919,80,249.41720640000003,CU
RS133347,2010,1919,80,249.41720640000003,CU
RS174081,2006,1925,200,181.1482352,CU
RS116131,2008,1955,100,164.105242,CU
RS116131,2004,1955,100,164.105242,CU
RS116131,2008,1955,100,164.105242,CU
RS116131,2007,1955,100,164.105242,CU
RS116131,2001,1955,100,164.105242,CU
RS116131,2005,1955,100,164.105242,CU
RS116131,2008,1955,100,164.105242,CU
RS116131,2005,1955,100,164.105242,CU
RS116131,2014,1955,100,164.105242,CU
RS206290,2000,1953,125,207.78323590000002,HDPE
RS206290,2000,1953,125,207.78323590000002,HDPE
RS206290,2002,1953,125,207.78323590000002,HDPE
RS29243,2007,1899,100,240.5131267,CU
RS29243,2010,1899,100,240.5131267,CU
RS29243,2009,1899,100,240.5131267,CU
RS29243,2009,1899,100,240.5131267,CU
RS29243,2010,1899,100,240.5131267,CU
RS54631,2004,1982,150,37.66891947,GI
RS10343,2007,1966,80,215.28606969999996,CU
RS10343,2005,1966,80,215.28606969999996,CU
RS10343,2008,1966,80,215.28606969999996,CU
RS10343,2005,1966,80,215.28606969999996,CU
RS10339,2003,1959,100,23.86532229,CU
RS51889,2011,1969,125,62.487254099999994,CU
RS51889,2002,1969,125,62.487254099999994,CU
RS200468,2011,1943,150,113.931343,CU
RS200468,2010,1943,150,113.931343,CU
RS198342,2007,1961,150,120.3283918,CU
RS198342,2007,1961,150,120.3283918,CU
RS198342,2014,1961,150,120.3283918,CU
RS166800,2009,1919,100,17.00243073,CU
RS23240,2008,1967,125,140.5704215,HDPE
RS22927,2005,1955,150,165.51199880000001,HDPE
RS22932,2005,1955,125,189.658409,HDPE
RS22932,2005,1955,125,189.658409,HDPE
RS22932,2002,1955,125,189.658409,HDPE
RS22932,2008,1955,125,189.658409,HDPE
RS22932,2005,1955,125,189.658409,HDPE
RS22932,2008,1955,125,189.658409,HDPE
RS22932,2010,1955,125,189.658409,HDPE
RS118585,2003,1979,300,113.7773147,GI
RS74131,2010,1937,80,53.91521136,CU
RS74131,2000,1937,80,53.91521136,CU
RS74131,2006,1937,80,53.91521136,CU
RS176937,2008,1941,80,19.83278416,CU
RS176937,2005,1941,80,19.83278416,CU
RS185567,2004,1956,250,73.97547986,CU
RS185567,2003,1956,250,73.97547986,CU
RS185567,2003,1956,250,73.97547986,CU
RS175588,2006,1921,125,86.67686282,CU
RS32885,2010,1961,100,22.25126989,CU
RS72848,2012,1929,80,71.28168588,CU
RS72848,2008,1929,80,71.28168588,CU
RS72848,2011,1929,80,71.28168588,CU
RS72848,2010,1929,80,71.28168588,CU
RS153993,2008,1881,125,72.28658782,CU
RS163169,2011,1922,100,36.83221379,CU
RS35457,2004,1978,125,10.41866772,RC
RS35457,2003,1978,125,10.41866772,RC
RS139919,2009,1962,125,99.62304968,HDPE
RS126185,2006,1965,80,21.66179478,CU
RS126185,2007,1965,80,21.66179478,CU
RS53491,2007,1947,125,54.01041854,CU
RS53491,2010,1947,125,54.01041854,CU
RS53491,2010,1947,125,54.01041854,CU
RS34475,2008,1987,125,23.17853875,HDPE
RS178250,2003,1969,150,48.54729934,HDPE
RS178250,2007,1969,150,48.54729934,HDPE
RS119071,2002,1933,125,77.52832695,CU
RS119071,2007,1933,125,77.52832695,CU
RS61682,2004,1959,100,18.91548013,CU
RS61682,2008,1959,100,18.91548013,CU
RS61682,2005,1959,100,18.91548013,CU
TS51264,2007,1927,910,385.2723691,RC
RS164287,2005,1955,150,134.9587354,HDPE
RS164287,2004,1955,150,134.9587354,HDPE
RS211412,2007,1942,150,106.83799740000002,CU
RS211412,2009,1942,150,106.83799740000002,CU
RS71655,2009,1949,80,303.7730744,CU
RS71655,2009,1949,80,303.7730744,CU
RS71655,2005,1949,80,303.7730744,CU
RS71655,2007,1949,80,303.7730744,CU
RS71655,2008,1949,80,303.7730744,CU
RS71655,2008,1949,80,303.7730744,CU
RS71655,2008,1949,80,303.7730744,CU
RS71655,2007,1949,80,303.7730744,CU
RS71655,2008,1949,80,303.7730744,CU
RS71655,2015,1949,80,303.7730744,CU
RS119253,2007,1954,100,115.85337879999999,HDPE
RS119253,2005,1954,100,115.85337879999999,HDPE
RS119253,2006,1954,100,115.85337879999999,HDPE
RS119253,2006,1954,100,115.85337879999999,HDPE
RS119253,2008,1954,100,115.85337879999999,HDPE
RS119253,2003,1954,100,115.85337879999999,HDPE
RS46282,2004,1959,100,62.99429751,HDPE
RS46282,2004,1959,100,62.99429751,HDPE
RS46282,2007,1959,100,62.99429751,HDPE
RS165825,2002,1954,100,93.77865887,HDPE
RS165825,2008,1954,100,93.77865887,HDPE
RS165825,2008,1954,100,93.77865887,HDPE
RS165825,2004,1954,100,93.77865887,HDPE
RS96248,2005,1897,250,192.5145665,CU
RS96248,2009,1897,250,192.5145665,CU
RS96248,2008,1897,250,192.5145665,CU
RS96248,2009,1897,250,192.5145665,CU
RS21013,2002,1962,100,147.7546237,HDPE
RS21049,2006,1922,100,126.2177097,CU
RS66942,2002,1976,150,140.567235,HDPE
RS131975,2006,1926,80,143.8958934,CU
RS131975,2000,1926,80,143.8958934,CU
RS76533,2005,1954,100,133.3663713,HDPE
RS76533,2005,1954,100,133.3663713,HDPE
RS76533,2005,1954,100,133.3663713,HDPE
RS76533,2006,1954,100,133.3663713,HDPE
RS76533,2003,1954,100,133.3663713,HDPE
RS76533,2005,1954,100,133.3663713,HDPE
RS76533,2008,1954,100,133.3663713,HDPE
RS76533,2005,1954,100,133.3663713,HDPE
RS76533,2007,1954,100,133.3663713,HDPE
RS76533,2006,1954,100,133.3663713,HDPE
RS76533,2007,1954,100,133.3663713,HDPE
RS76533,2006,1954,100,133.3663713,HDPE
RS35126,2005,1933,80,136.9779817,CU
RS35126,2012,1933,80,136.9779817,CU
RS35126,2007,1933,80,136.9779817,CU
RS35126,2008,1933,80,136.9779817,CU
RS35126,2007,1933,80,136.9779817,CU
RS35126,2007,1933,80,136.9779817,CU
RS35126,2012,1933,80,136.9779817,CU
RS35126,2015,1933,80,136.9779817,CU
RS24557,2002,1932,100,126.83902079999999,CU
RS24557,2005,1932,100,126.83902079999999,CU
RS24557,2009,1932,100,126.83902079999999,CU
RS24557,2002,1932,100,126.83902079999999,CU
RS15755,2005,1953,100,34.38566439,HDPE
RS15755,2003,1953,100,34.38566439,HDPE
RS15755,2003,1953,100,34.38566439,HDPE
RS15755,2002,1953,100,34.38566439,HDPE
RS170932,2007,1975,125,82.29458776,CU
RS170932,2007,1975,125,82.29458776,CU
RS115506,2003,1973,100,81.03578844,HDPE
RS115729,2004,1948,100,132.10418959999998,CU
RS115729,2005,1948,100,132.10418959999998,CU
RS115729,2007,1948,100,132.10418959999998,CU
RS115729,2013,1948,100,132.10418959999998,CU
RS115729,2012,1948,100,132.10418959999998,CU
RS115729,2012,1948,100,132.10418959999998,CU
RS115729,2014,1948,100,132.10418959999998,CU
RS55243,2008,1965,80,109.13926599999999,HDPE
RS55243,2005,1965,80,109.13926599999999,HDPE
RS2249,2004,1973,150,25.86184401,HDPE
RS2249,2000,1973,150,25.86184401,HDPE
RS135914,2005,1951,80,85.83076904,CU
RS135914,2009,1951,80,85.83076904,CU
RS135914,2003,1951,80,85.83076904,CU
RS135914,2007,1951,80,85.83076904,CU
RS17905,2000,1959,80,43.35667120000001,CU
RS194215,2008,1964,125,139.65983369999998,HDPE
RS84215,2001,1933,100,144.79875959999998,CU
RS131191,2012,1976,150,329.93139069999995,HDPE
RS131191,2012,1976,150,329.93139069999995,HDPE
RS38777,2003,1887,63,195.20279140000002,CU
RS38777,2002,1887,63,195.20279140000002,CU
RS38777,2004,1887,63,195.20279140000002,CU
RS38777,2007,1887,63,195.20279140000002,CU
RS38777,2013,1887,63,195.20279140000002,CU
RS113979,2005,1936,80,254.17818340000002,CU
RS113979,2007,1936,80,254.17818340000002,CU
RS113979,2001,1936,80,254.17818340000002,CU
RS113979,2009,1936,80,254.17818340000002,CU
RS113979,2011,1936,80,254.17818340000002,CU
RS113979,2012,1936,80,254.17818340000002,CU
RS113979,2013,1936,80,254.17818340000002,CU
RS113852,2007,1956,100,66.34054371,HDPE
RS171640,2002,1962,125,183.2146477,HDPE
RS148826,2005,1959,100,160.3683907,HDPE
RS4765,2004,1968,150,54.15808605,HDPE
RS5152,2004,1957,80,51.40323553,HDPE
RS5152,2002,1957,80,51.40323553,HDPE
RS5152,2005,1957,80,51.40323553,HDPE
RS5152,2002,1957,80,51.40323553,HDPE
RS5152,2004,1957,80,51.40323553,HDPE
RS5152,2004,1957,80,51.40323553,HDPE
RS5152,2004,1957,80,51.40323553,HDPE
RS189905,2002,1962,80,16.72507027,CU
RS29424,2009,1957,125,77.21050887,CU
RS231649,2007,1925,80,265.457964,CU
RS231649,2001,1925,80,265.457964,CU
RS231649,2003,1925,80,265.457964,CU
RS231649,2007,1925,80,265.457964,CU
RS231649,2004,1925,80,265.457964,CU
RS231649,2007,1925,80,265.457964,CU
RS231649,2006,1925,80,265.457964,CU
RS39437,2006,1974,80,152.74757350000002,HDPE
RS39437,2012,1974,80,152.74757350000002,HDPE
RS1505,2002,1981,80,21.44701571,HDPE
RS122938,2006,1966,125,88.98474585,HDPE
RS176441,2004,1937,100,171.94640800000002,CU
RS176441,2005,1937,100,171.94640800000002,CU
RS176441,2006,1937,100,171.94640800000002,CU
RS176441,2013,1937,100,171.94640800000002,CU
RS162858,2006,1933,100,63.546074899999994,CU
RS162858,2006,1933,100,63.546074899999994,CU
RS162858,2005,1933,100,63.546074899999994,CU
RS162858,2002,1933,100,63.546074899999994,CU
RS162858,2008,1933,100,63.546074899999994,CU
RS162858,2009,1933,100,63.546074899999994,CU
RS162858,2012,1933,100,63.546074899999994,CU
RS162858,2013,1933,100,63.546074899999994,CU
RS74659,2000,1950,80,166.18156340000002,HDPE
RS74659,2002,1950,80,166.18156340000002,HDPE
RS74659,2000,1950,80,166.18156340000002,HDPE
RS74659,2001,1950,80,166.18156340000002,HDPE
RS74659,2001,1950,80,166.18156340000002,HDPE
RS74659,2003,1950,80,166.18156340000002,HDPE
RS74659,2004,1950,80,166.18156340000002,HDPE
RS227888,2010,1965,125,288.6286835,HDPE
RS33363,2005,1968,80,52.12632318,HDPE
RS190421,2000,1905,80,71.14127904,CU
RS12745,2005,1961,80,110.53047,HDPE
RS12745,2003,1961,80,110.53047,HDPE
RS9638,2007,1970,100,50.00709298,HDPE
RS9638,2005,1970,100,50.00709298,HDPE
RS184344,2005,1961,125,39.03747075,HDPE
RS169529,2005,1953,125,64.44019425,HDPE
RS169529,2008,1953,125,64.44019425,HDPE
RS24519,2003,1927,80,122.1643744,CU
RS24519,2008,1927,80,122.1643744,CU
RS24519,2003,1927,80,122.1643744,CU
RS8467,2005,1950,100,188.4103845,HDPE
RS8467,2007,1950,100,188.4103845,HDPE
RS8467,2010,1950,100,188.4103845,HDPE
RS8467,2009,1950,100,188.4103845,HDPE
RS8467,2011,1950,100,188.4103845,HDPE
RS8467,2006,1950,100,188.4103845,HDPE
RS8467,2009,1950,100,188.4103845,HDPE
RS8467,2003,1950,100,188.4103845,HDPE
RS8467,2007,1950,100,188.4103845,HDPE
RS8467,2015,1950,100,188.4103845,HDPE
RS64176,2002,1974,80,10.35630244,CU
RS64176,2000,1974,80,10.35630244,CU
RS124122,2003,1955,80,239.76601200000002,CU
RS124122,2007,1955,80,239.76601200000002,CU
RS124122,2010,1955,80,239.76601200000002,CU
RS124122,2005,1955,80,239.76601200000002,CU
RS124122,2006,1955,80,239.76601200000002,CU
RS124122,2003,1955,80,239.76601200000002,CU
RS124122,2006,1955,80,239.76601200000002,CU
RS124122,2006,1955,80,239.76601200000002,CU
RS124122,2007,1955,80,239.76601200000002,CU
RS124122,2004,1955,80,239.76601200000002,CU
RS186352,2005,1958,125,57.87260983,CU
RS13896,2009,1957,80,86.20686848,HDPE
RS13896,2008,1957,80,86.20686848,HDPE
RS13896,2009,1957,80,86.20686848,HDPE
RS193776,2006,1944,250,577.7498951,CU
RS193776,2003,1944,250,577.7498951,CU
RS193776,2008,1944,250,577.7498951,CU
RS193776,2006,1944,250,577.7498951,CU
RS193776,2004,1944,250,577.7498951,CU
RS193776,2010,1944,250,577.7498951,CU
RS193776,2011,1944,250,577.7498951,CU
RS193776,2013,1944,250,577.7498951,CU
RS43793,2004,1949,100,74.06966148,CU
RS43793,2008,1949,100,74.06966148,CU
RS43793,2003,1949,100,74.06966148,CU
RS43793,2010,1949,100,74.06966148,CU
RS40281,2006,1947,100,233.6983055,CU
RS40281,2006,1947,100,233.6983055,CU
RS40281,2005,1947,100,233.6983055,CU
RS40281,2011,1947,100,233.6983055,CU
RS40281,2008,1947,100,233.6983055,CU
RS40281,2003,1947,100,233.6983055,CU
RS40281,2002,1947,100,233.6983055,CU
RS40281,2005,1947,100,233.6983055,CU
RS40281,2013,1947,100,233.6983055,CU
RS81419,2009,1977,125,160.9634801,HDPE
RS21954,2004,1958,150,9.304301087999999,HDPE
RS21930,2007,1975,125,126.6593764,CU
RS21930,2011,1975,125,126.6593764,CU
RS21930,2003,1975,125,126.6593764,CU
RS21930,2008,1975,125,126.6593764,CU
RS21930,2010,1975,125,126.6593764,CU
RS161408,2010,1970,150,152.3893611,CU
RS161408,2002,1970,150,152.3893611,CU
RS161408,2005,1970,150,152.3893611,CU
RS161408,2009,1970,150,152.3893611,CU
RS161408,2005,1970,150,152.3893611,CU
RS161408,2015,1970,150,152.3893611,CU
RS198151,2002,1969,200,68.35106271,CU
RS44052,2007,1951,80,56.98699504,HDPE
RS44052,2003,1951,80,56.98699504,HDPE
RS44052,2004,1951,80,56.98699504,HDPE
RS44052,2002,1951,80,56.98699504,HDPE
RS236737,2011,1943,100,113.2342922,CU
RS236737,2010,1943,100,113.2342922,CU
RS236737,2006,1943,100,113.2342922,CU
RS236737,2007,1943,100,113.2342922,CU
RS236737,2009,1943,100,113.2342922,CU
RS236737,2010,1943,100,113.2342922,CU
RS236737,2014,1943,100,113.2342922,CU
RS37734,2011,1938,100,99.62216324,CU
RS37734,2012,1938,100,99.62216324,CU
RS46643,2007,1939,100,98.86066793,CU
RS46643,2006,1939,100,98.86066793,CU
RS46643,2002,1939,100,98.86066793,CU
RS46643,2006,1939,100,98.86066793,CU
RS46643,2004,1939,100,98.86066793,CU
RS193266,2006,1949,80,22.62308183,CU
RS193266,2001,1949,80,22.62308183,CU
RS43622,2007,1955,100,81.14462420000001,CU
RS43622,2011,1955,100,81.14462420000001,CU
RS43622,2004,1955,100,81.14462420000001,CU
RS155862,2004,1961,125,80.06739335,HDPE
RS12743,2006,1958,80,108.2566497,HDPE
RS61060,2006,1953,100,77.10065735,HDPE
RS115696,2006,1953,80,11.97009835,CU
RS115696,2003,1953,80,11.97009835,CU
RS29379,2006,1960,100,41.56313516,CU
RS155877,2005,1947,80,261.9766327,CU
RS155877,2007,1947,80,261.9766327,CU
RS155877,2003,1947,80,261.9766327,CU
RS155877,2012,1947,80,261.9766327,CU
RS155877,2001,1947,80,261.9766327,CU
RS155877,2011,1947,80,261.9766327,CU
RS155877,2013,1947,80,261.9766327,CU
RS155877,2014,1947,80,261.9766327,CU
RS169923,2003,1968,80,15.10533047,CU
RS112998,2005,1951,80,159.9533085,HDPE
RS112998,2011,1951,80,159.9533085,HDPE
RS112998,2009,1951,80,159.9533085,HDPE
RS112998,2007,1951,80,159.9533085,HDPE
RS112998,2004,1951,80,159.9533085,HDPE
RS112998,2012,1951,80,159.9533085,HDPE
RS112998,2014,1951,80,159.9533085,HDPE
RS112998,2013,1951,80,159.9533085,HDPE
RS112998,2014,1951,80,159.9533085,HDPE
RS94390,2002,1931,100,316.0121126,CU
RS94390,2002,1931,100,316.0121126,CU
RS94390,2005,1931,100,316.0121126,CU
RS94390,2012,1931,100,316.0121126,CU
RS187143,2004,1935,80,186.32964850000002,CU
RS111723,2008,1959,150,70.06748113,HDPE
RS8383,2004,1949,80,120.96133959999999,HDPE
RS8383,2009,1949,80,120.96133959999999,HDPE
RS8383,2005,1949,80,120.96133959999999,HDPE
RS8383,2005,1949,80,120.96133959999999,HDPE
RS8383,2007,1949,80,120.96133959999999,HDPE
RS130701,2010,1947,100,56.12474051,HDPE
RS130701,2008,1947,100,56.12474051,HDPE
RS50817,2007,1961,100,144.81277790000001,HDPE
RS33390,2011,1961,80,214.20635589999998,HDPE
RS33390,2012,1961,80,214.20635589999998,HDPE
RS201858,2008,1927,125,92.2590395,CU
RS201858,2010,1927,125,92.2590395,CU
RS201858,2008,1927,125,92.2590395,CU
RS201858,2014,1927,125,92.2590395,CU
RS32401,2005,1947,80,59.43438178,CU
RS32401,2006,1947,80,59.43438178,CU
RS32401,2004,1947,80,59.43438178,CU
RS32401,2007,1947,80,59.43438178,CU
RS106889,2007,1973,80,73.7713564,HDPE
RS211969,2006,1948,125,66.06289459999999,CU
RS211969,2006,1948,125,66.06289459999999,CU
RS211969,2001,1948,125,66.06289459999999,CU
RS211969,2005,1948,125,66.06289459999999,CU
RS211969,2005,1948,125,66.06289459999999,CU
RS211969,2011,1948,125,66.06289459999999,CU
RS211969,2014,1948,125,66.06289459999999,CU
RS211969,2012,1948,125,66.06289459999999,CU
RS193068,2005,1971,300,24.94805087,CU
RS193068,2014,1971,300,24.94805087,CU
RS163143,2004,1964,150,278.5699975,HDPE
RS163143,2008,1964,150,278.5699975,HDPE
RS84229,2006,1916,80,293.08394619999996,CU
RS84229,2008,1916,80,293.08394619999996,CU
RS84229,2009,1916,80,293.08394619999996,CU
RS84229,2007,1916,80,293.08394619999996,CU
RS84229,2005,1916,80,293.08394619999996,CU
RS84229,2006,1916,80,293.08394619999996,CU
RS84229,2009,1916,80,293.08394619999996,CU
RS84229,2015,1916,80,293.08394619999996,CU
RS48131,2009,1967,150,149.4736834,CU
RS48131,2008,1967,150,149.4736834,CU
RS48131,2003,1967,150,149.4736834,CU
RS106113,2002,1949,100,141.14979259999998,CU
RS10571,2002,1954,100,167.4235262,HDPE
